Station,GPS
Porte Dauphine,"48.870180418141544, 2.274627543314604"
La Défense,"48.89286497052017, 2.2395681712170497"
Maison Blanche,"48.82142042957708, 2.3590551543843183"
Saint-Ouen,"48.904496420574624, 2.321743589558779"
Boulogne - Jean Jaurès,"48.842005347289565, 2.238887327153073"
Bolivar,"48.880667463456206, 2.374495966260425"
Anatole France,"48.892082785966664, 2.2850095013824143"
Arts et Métiers,"48.86558647849898, 2.356736756794993"
Bastille,"48.85343942756841, 2.3695135681565254"
Bel-Air,"48.84133824913213, 2.4009185367798027"
Bérault,"48.845470707583566, 2.4292051663480003"
Daumesnil,"48.83944542837951, 2.3961828864526327"
Cardinal Lemoine,"48.84665685124266, 2.3516232550160123"
Châtelet,"48.85763141070005, 2.3480365654004016"
Cité,"48.85493637835866, 2.3473213170674265"
Concorde,"48.86628580458389, 2.3229434122435415"
Glacière,"48.831129548026645, 2.3435116577497763"
Jourdain,"48.87511181695599, 2.389415032035528"
Jules Joffrin,"48.892418922945716, 2.3447646117383565"
Maraîchers,"48.85272512017012, 2.406089161868773"
Michel Bizot,"48.83711700698872, 2.4023331645551855"
Le Kremlin-Bicêtre,"48.81012995727394, 2.362263387127349"
Madeleine,"48.87023324339993, 2.3251635468278975"
Ourcq,"48.886856931501875, 2.3859131742732758"
Pernety,"48.83422588267789, 2.318616414425384"
Picpus,"48.84506157994489, 2.4012890198273484"
Pierre et Marie Curie,"48.815930763056315, 2.3772672015137393"
Place d'Italie,"48.8309272410005, 2.356121938797104"
Notre-Dame-des-Champs,"48.84494263342596, 2.3287780268900797"
Oberkampf,"48.86496414577929, 2.3679014148417363"
Oberkampf,"48.8650190090373, 2.368011378256503"
Odéon,"48.852300763094235, 2.3397277815930964"
Pont Marie,"48.85357547250359, 2.357162571618337"
Saint-Philippe du Roule,"48.87204586272729, 2.3100189324082736"
Ranelagh,"48.855485050404425, 2.2701091389418937"
Raspail,"48.83896428071056, 2.3307541920862156"
Raspail,"48.83896428071056, 2.3307541920862156"
Saint-Germain-des-Prés,"48.853718934000206, 2.3337761382184676"
Rue Saint-Maur,"48.864285758645295, 2.379741893177554"
Porte de Versailles,"48.832676871877865, 2.288069457597242"
Saint-Lazare,"48.87515128791023, 2.324380555428912"
Gare de l'Est,"48.8759910648072, 2.357880771925327"
Pont de Neuilly,"48.88470820133096, 2.260515079251701"
Duroc,"48.84698910613954, 2.3170052357372453"
Fort d'Aubervilliers,"48.91494975727623, 2.4044090887818643"
Malesherbes,"48.88289191745414, 2.309052264550479"
Porte Dauphine,"48.87146657813589, 2.2770830184157247"
Porte de la Villette,"48.89738989158187, 2.385508387668673"
Olympiades,"48.82727083601133, 2.3680326484142777"
Tuileries,"48.86434377873392, 2.330129877112862"
Porte de Bagnolet,"48.86343374196473, 2.4088324651439725"
Porte de Montreuil,"48.85298727790375, 2.4107411361264375"
Porte Dorée,"48.83552220834931, 2.4066571471351024"
Porte de Clignancourt,"48.898041450337814, 2.3450784496454857"
Porte de la Chapelle,"48.898392125677425, 2.3583754693257846"
Gare d'Austerlitz,"48.842436797924776, 2.365184811993381"
Alexandre Dumas,"48.85622809125615, 2.3946756547920462"
Buzenval,"48.85197520932561, 2.401927284511547"
Château Rouge,"48.88671096804134, 2.349559430194618"
Corentin Cariou,"48.89465585833331, 2.382160158371538"
Jaurès,"48.883193321300105, 2.371933128614294"
Stalingrad,"48.88432566304799, 2.3673720385654686"
Saint-Augustin,"48.87447567664767, 2.322001788877926"
Billancourt,"48.83173796437048, 2.2374367869806067"
Charonne,"48.855094494476994, 2.3846997601328437"
Esplanade de La Défense,"48.88813847761218, 2.2497927690097654"
Bagneux - Lucie Aubrac,"48.80348971892539, 2.3173602968975313"
Mairie d'Aubervilliers,"48.913710545549606, 2.3807356063950946"
Porte Maillot,"48.87793268655634, 2.282976188020842"
Nation,"48.84823711041019, 2.395823588826126"
Gare de Lyon,"48.84413934985302, 2.373259976710645"
Invalides,"48.862884804554966, 2.31251355492596"
Denfert-Rochereau,"48.83345085821352, 2.331740130985349"
Gare du Nord,"48.880195487135886, 2.3576332046800537"
Invalides,"48.86002845820203, 2.3139151192031537"
Nation,"48.84737487872935, 2.3954619948327402"
Porte de Clichy,"48.89425226223873, 2.313772157405782"
La Défense,"48.8921233638325, 2.2372135364577135"
Botzaris,"48.87949310793359, 2.3885668704791967"
Rue des Boulets,"48.852168369650244, 2.3896255399759547"
Boissière,"48.86698310944948, 2.290058833580487"
Bastille,"48.85343696230164, 2.368736572626169"
Belleville,"48.87184879466127, 2.3765936840968225"
Danube,"48.88181610818685, 2.394012398359364"
Dupleix,"48.85043454901342, 2.2936124371878033"
Charles Michels,"48.8465346367312, 2.2859992220590075"
Château de Vincennes,"48.84445639456913, 2.440439978057246"
Chevaleret,"48.83494772325454, 2.3681263304132094"
Hôtel de Ville,"48.857477982529346, 2.3515775629949967"
Iéna,"48.8647940649002, 2.2941620153942797"
Jasmin,"48.85250409151217, 2.2681767494233314"
Jussieu,"48.84595066575015, 2.355050264434754"
Marx Dormoy,"48.89048545474661, 2.359995766394621"
Michel-Ange - Molitor,"48.84524756545478, 2.261623492404886"
Michel-Ange - Molitor,"48.84505817231375, 2.2617451249636717"
Mirabeau,"48.84713100819624, 2.2727637533161595"
Miromesnil,"48.87376998959543, 2.31445603617697"
Les Sablons,"48.88101649749112, 2.272238940611057"
Liège,"48.87963476065682, 2.3270222008895027"
Mairie de Clichy,"48.90323367878661, 2.306010915009083"
Mairie de Saint-Ouen,"48.91196489788089, 2.3339248904797145"
Mouton-Duvernet,"48.83111266037533, 2.3297050126201846"
Odéon,"48.85193594203498, 2.340613006406504"
Opéra,"48.86993903518653, 2.332592489355912"
Pont de Sèvres,"48.829746119994304, 2.231028100202621"
Ségur,"48.84706613315245, 2.3074022406196404"
Porte de Vanves,"48.82779554349536, 2.305534669653895"
Porte d'Orléans,"48.82341162898739, 2.3255756362122453"
Rambuteau,"48.86120499033039, 2.353495741491146"
République,"48.86702678847436, 2.364247995104706"
République,"48.86782709972698, 2.3637404371950392"
Rue de la Pompe,"48.86394013069539, 2.2784416488331494"
Saint-François-Xavier,"48.85144170744032, 2.314408121472487"
Saint-Georges,"48.87817339105656, 2.337857510381017"
Saint-Marcel,"48.83842729696758, 2.360967167698855"
Vaneau,"48.848816373369594, 2.3212578628937472"
Varenne,"48.85687137924919, 2.315056637317088"
Villejuif - Louis Aragon,"48.78756279294567, 2.367804105603498"
Front Populaire,"48.90656714598029, 2.3659203194009595"
Porte de la Chapelle,"48.89724528809305, 2.3595078688155935"
Gare de l'Est,"48.8762727026041, 2.3580579070747385"
Gallieni,"48.8653353181603, 2.416697272847641"
Hoche,"48.891228593203465, 2.4023521439004725"
Hôtel de Ville,"48.85745183174312, 2.3510084614060265"
La Courneuve - 8 Mai 1945,"48.92078596906289, 2.410598616469426"
Malakoff - Plateau de Vanves,"48.822583707737074, 2.298464191958535"
Maison Blanche,"48.822182658556564, 2.3585513482022042"
Porte de Champerret,"48.886006151507, 2.293529966337255"
Tolbiac,"48.82642601087568, 2.357245650758686"
Trocadéro,"48.863065020217945, 2.2862431693282357"
Victor Hugo,"48.86979855646069, 2.2853350946861695"
Poissonnière,"48.877100185798646, 2.3487755574768467"
Porte de Charenton,"48.83273670175476, 2.400310403025077"
Porte d'Ivry,"48.82182955806905, 2.370053603529677"
Porte de la Villette,"48.8974287355787, 2.3865814331137196"
Saint-Denis - Porte de Paris,"48.92981642738063, 2.3572920708824574"
Porte Maillot,"48.87755125180425, 2.2831622422302296"
Porte de Choisy,"48.819453686993754, 2.3651909325792806"
Porte de Pantin,"48.889007649506944, 2.3956810747116024"
Avron,"48.85190531895693, 2.3979973148307456"
Église de Pantin,"48.893149985759834, 2.412763044547627"
Château d'Eau,"48.87262083992817, 2.356153947450339"
Châtelet,"48.856942736159496, 2.348147481005499"
Guy Môquet,"48.892206827747096, 2.3272198679191285"
Monceau,"48.88032518647405, 2.308773835955807"
Place de Clichy,"48.88399982489613, 2.32853013989038"
Stalingrad,"48.88428415025653, 2.365821546282089"
Stalingrad,"48.88479825198408, 2.36958085557783"
Rome,"48.88233342370702, 2.3218017310631685"
Grands Boulevards,"48.87125654594185, 2.34456106066273"
Balard,"48.83629530154249, 2.278330259866024"
Basilique de Saint-Denis,"48.93805733112318, 2.3607924922797126"
Gare de l'Est,"48.877375619879636, 2.3594566169442075"
Gare de Lyon,"48.84476017126674, 2.373593653262281"
La Défense,"48.89218707644951, 2.237018056395014"
Saint-Lazare,"48.87571908982334, 2.324224580938853"
Nation,"48.847579367477074, 2.3955545121706874"
